Delta,Theta,Alpha,Beta,Gamma,Extra
2700.24075,2828.649679,2606.944989,2238.787093,1433.883928,99.93546401
13868.78534,9912.346254,4556.316794,1866.551297,1465.780533,156.7321964
2483.806766,3686.336537,2278.086291,2041.869153,1469.44212,86.11593219
1662.987659,6697.276123,3266.985858,2427.455014,1493.836523,156.7747902
5010.49643,4280.551069,1583.677092,2528.847655,1630.747321,205.0189025
14088.69597,15222.78408,5968.369705,3154.263942,1190.693165,317.2731173
16539.69732,5860.037822,8498.366405,4072.591453,1711.567565,134.7785837
3378.277612,2365.881565,911.920724,1984.542642,1493.661118,117.6765267
2209.134497,3989.801762,1778.884406,2158.718575,2169.938715,231.2798809
4473.998224,5965.813428,3880.556285,2439.051637,1617.556601,154.0356413
3222.857312,3795.009008,1892.897161,2607.069866,1463.117847,141.1148303
2956.301982,3585.977308,2083.771645,2512.606106,1403.573427,235.4740308
8774.266451,9257.566052,6605.734557,3285.973869,1664.967589,190.9472709
5035.070872,4680.066312,3426.572806,2699.345615,1761.174391,119.5125895
9116.215532,15956.82063,6093.615565,3557.79579,1737.018738,225.3441182
10213.53174,5088.745156,3271.509493,2245.296912,1116.582818,137.8570191
3701.599907,6705.105345,3591.270688,2473.044549,1317.870907,121.4681328
8246.490577,9101.133971,7653.988517,2537.044347,1196.400468,201.3429588
4043.580313,1156.003609,2460.001755,1895.191346,1372.235357,77.04658246
1034.889681,2826.015765,1415.994393,2523.479016,1291.463213,98.58533154
5512.55379,11888.86749,6703.488315,2695.365448,1463.665779,228.4225006
2143.751047,3295.161132,3492.76259,2636.979007,1192.16523,197.7501156
8354.667939,5304.842477,3307.190233,2993.875395,1296.192383,207.0770745
3999.993091,2636.454386,2001.635362,2881.665585,1427.592992,146.0229728
4724.214642,5767.781728,4446.530375,2184.167601,938.0783036,170.9748591
2219.661826,1565.113839,1528.340796,3107.742981,1811.108439,141.7213744
542.4176768,2465.543137,2206.103835,2874.97418,1191.899087,238.6813729
4797.448117,5987.25548,3091.637875,2900.292358,1416.48612,260.8897858
4521.53069,3733.901017,2795.776473,2604.986203,1462.474743,174.9626142
963.2959448,3350.275093,2757.754798,2302.279813,1666.034626,104.8480451
1770.860153,3703.051307,2102.637531,2077.331484,1606.957816,228.9722277
4660.874356,4597.060059,2718.568488,2373.834311,1236.466102,128.5306952
3665.414301,2757.181158,3378.704471,2059.490819,1551.658257,146.1273953
2307.788463,3057.402872,2450.350113,1892.139199,1494.990486,139.788665
5578.124142,5294.713127,3752.735806,2345.992115,1237.184103,103.1166989
3765.483604,7654.755187,5136.754434,2480.739579,2056.069774,78.03557488
1789.291831,2850.506831,2435.788473,1440.087591,1165.357521,151.5061034
1124.048861,2806.917395,1161.962263,1713.565481,1252.907729,101.7010951
3041.688039,2723.691512,2357.397709,3291.612754,1475.261148,160.758608
2859.387213,4041.551838,1397.210376,2030.711048,1077.761154,193.9386183
3876.439909,7880.84184,3880.079859,3845.18668,1477.115004,149.8143045
2601.57667,5192.413654,3642.455762,2661.279456,1563.245988,179.8055486
2884.234979,2511.480984,2228.793184,4009.786302,1952.125331,164.6262142
3032.595311,2811.73499,1728.906669,2420.153565,2038.305514,80.43045644
4342.545194,5047.418265,3346.928917,3382.878887,1327.610385,87.62595713
9356.72429,7035.431815,4577.598772,2826.475861,1371.105385,256.3636468
5761.85296,4082.322362,1144.906516,2011.782183,1093.024665,102.8353904
7051.380375,9062.728727,3875.301346,2137.184039,1755.594882,105.456906
2513.845317,2987.843769,2407.267923,2063.291505,1150.940317,144.9594977
2571.016718,2525.873171,1787.913246,2059.338287,1145.625787,147.2824814
4208.25856,3420.461999,2571.450496,2650.047045,1672.528493,122.115084
2455.413238,3458.489084,3368.697595,3382.762295,1644.454838,165.5100597
4269.594082,3263.387376,1646.022891,2717.590549,1016.517307,143.1855378
2058.929949,2944.414585,1592.657827,2290.198241,1337.937008,110.2251318
1194.74269,3072.352299,1260.47292,2537.082315,1454.294626,149.110742
7057.967182,4775.553128,2213.650955,1724.737692,1095.632307,143.9096512
4910.49683,8719.309674,3625.309897,2314.132518,1481.31701,94.02248297
1132.072618,3364.465402,1967.416382,2518.162012,1322.401069,119.0158743
2648.914283,5517.855801,4169.156527,2851.126493,975.5377782,135.8290071
3835.601328,8328.342954,3952.873249,2390.472468,1151.521527,92.89094098
22043.81631,8047.076413,6692.762463,2408.048937,1411.452063,108.2246306
1835.568993,2926.245236,1551.586488,1523.139059,909.5457044,86.53815033
3718.411613,4125.992459,2270.705899,1607.699924,1132.469291,129.3509171
6050.540136,8010.387347,4086.206937,2497.780449,1650.58669,173.2194451
16717.569,16136.93669,6168.44763,3566.336589,1912.876546,104.703732
5392.235208,10410.9914,2754.537751,3021.187084,2075.91374,146.7546796
4403.049872,7481.524098,6964.199004,2865.961402,1202.099334,104.0448564
14039.56721,14703.9298,7083.774934,2591.915284,1330.371595,180.4405727
2539.054119,7712.977818,4427.543752,2484.923051,1535.148982,166.2916138
3076.59721,5888.842447,5027.989091,2373.152115,1291.616114,92.77004834
1320.080602,1519.88813,2097.306579,2322.441638,1688.904037,82.09917172
2008.921137,2094.235506,2711.607623,2044.703321,1045.492722,91.00172554
2755.103997,8187.717569,3723.539973,2462.320442,1411.245819,110.7632027
4464.800841,3423.078155,1575.186051,1447.598044,1385.12761,172.8190566
2456.380608,2877.572761,1695.219061,1207.813576,1253.752551,98.02541982
1238.357785,3725.92768,2305.797426,1690.351433,1322.5874,90.16359042
1967.113432,3793.488544,1919.997188,1624.170288,1333.66417,114.7914617
1704.851228,1181.485656,1651.065622,1964.158446,1293.118575,178.6164706
4746.295977,7338.487689,3386.437582,2064.130257,1057.618762,110.6317618
3013.912338,8348.45988,3312.28692,3183.244871,1480.638207,106.4993438
538.1185028,2108.238225,1941.635321,2717.310159,1179.560843,159.2707555
1331.181514,4518.167391,1976.838578,2576.130805,1482.346736,76.55495261
4976.933655,2969.766755,3629.497693,2381.34153,1616.472081,119.0163326
2470.66998,3265.916573,1825.704441,3191.871529,1778.961703,86.69518496
1993.288073,2694.604447,1836.894572,2480.941521,1106.712805,122.307318
5061.931965,7647.915129,2597.827216,3382.172418,1666.377076,137.3462096
5830.084467,7447.727186,2623.710853,2293.108761,1335.133637,105.9710929
2398.032016,3220.020046,2030.921814,2873.573499,2297.198749,153.6570066
5215.57717,5255.411963,2680.106806,2785.937301,1340.190846,131.1958093
5988.983464,3850.604579,2814.159587,2168.939715,1458.057701,177.0400162
1389.528528,1970.61868,2048.05845,2062.3518,1395.209153,153.116508
2984.839415,3084.08778,2739.709704,3561.053286,1464.709039,131.6224391
5812.553126,4110.09249,2906.627889,2260.349187,1511.979844,133.0465732
4149.592618,3081.120169,758.2096506,2371.843133,1437.567646,218.4656192
4152.676151,6175.502133,2959.251028,2442.798084,1176.16422,178.8129671
2317.06949,3580.675266,3570.457492,1992.097348,1116.696034,95.23760555
3895.033271,4914.013288,3405.351338,2232.950738,1962.414724,228.4164488
10550.27197,4022.294039,2696.437868,2802.803375,1515.06394,127.6220111
4742.083165,7112.307613,4120.156257,3264.169936,1405.660615,144.7024354
1544.293815,2563.504796,1950.899162,3224.113607,1268.727345,134.455385
4300.563541,6162.458912,3374.857451,2163.264325,1217.379095,81.0809584
1068.20495,3201.098297,1669.127451,2015.563647,1367.217369,121.6185284
1682.519219,2512.365257,1376.118029,1609.584539,1214.917773,82.94897047
1345.437513,3255.142775,1867.265215,1829.602448,1533.125532,190.1316578
3001.116077,3423.329524,1209.233003,2095.215958,1162.129131,110.2206872
2259.877895,5002.393128,4219.679782,3074.991664,1124.752135,189.860562
4044.361844,2316.814703,2259.129516,3321.55178,1198.934494,172.8607636
2133.423294,3430.820393,2425.232826,3103.268921,1539.927565,224.4110022
1193.215502,5871.71527,3097.255278,3296.504022,1524.925932,188.6318213
4500.187575,10554.52698,2366.965656,2637.189184,1592.09439,110.4536201
3353.901662,5966.065089,3504.777145,3282.366532,1410.738883,165.2840049
10196.21562,7887.367206,4641.361686,2987.018468,2396.759934,177.9160712
5705.046167,4975.163765,2788.819931,3662.99419,3085.15024,338.1905046
9363.703006,9007.390703,7691.68573,3401.98995,1476.905595,254.623799
6060.573789,3666.192318,4422.767066,3853.479633,2189.402632,150.3044655
910.5284251,2570.468523,1917.143281,2836.243683,1834.143861,109.7095998
3961.442017,6033.639771,4613.490079,3032.213891,1256.888809,140.9320415
